data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
20/12/2023;17:40:00;BETIM;Acumulo de óleo sobre o pavimento;Queda de ocupante de veículo;Com Vítimas Feridas;Anoitecer;Decrescente;Nublado;Múltipla;Reta;-19,95644414;-44,13611598
20/12/2023;18:50:00;CANOAS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Múltipla;Reta;-29,93079733;-51,17747605
20/12/2023;18:10:00;SAO JOAO DE MERITI;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Múltipla;Reta;-22,79810324;-43,35726614
20/12/2023;18:30:00;SAO JOAO DE MERITI;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-22,78923555;-43,37275272
20/12/2023;20:15:00;JOAO PESSOA;Manobra de mudança de faixa;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Curva;-7,1198;-34,8453
09/10/2023;19:36:00;PORTO ALEGRE;Manobra de mudança de faixa;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;"Reta;Ponte;Em Obras";-29,96376;-51,097771
20/12/2023;18:40:00;CABROBO;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-8,417872;-39,172592
20/12/2023;21:00:00;ANGRA DOS REIS;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;-22,92894705;-44,37879998
20/12/2023;22:10:00;BETIM;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Múltipla;Reta;-19,97670801;-44,19962698
20/12/2023;20:00:00;ESMERALDAS;Chuva;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Chuva;Dupla;"Reta;Declive";-19,70735708;-44,16736508
20/12/2023;20:40:00;PIRAI;Velocidade Incompatível;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Declive;-22,65208783;-43,82143902
20/12/2023;22:45:00;CASCAVEL;Ultrapassagem Indevida;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-25,05866119;-53,22275924
21/12/2023;00:55:00;GUARANIACU;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Curva;Declive";-25,091649;-52,949265
21/12/2023;04:30:00;GOIANIA;Acumulo de água sobre o pavimento;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Múltipla;Reta;-16,7033;-49,2311
21/12/2023;07:00:00;EMBU DAS ARTES;Ausência de sinalização;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;-23,66233697;-46,85292907
21/12/2023;07:10:00;SAO PAULO;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;-23,457972;-46,479927
21/12/2023;05:15:00;ORTIGUEIRA;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;"Reta;Declive";-24,27135947;-50,88884354
21/12/2023;06:04:00;NITEROI;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-22,87117393;-43,15595099
20/12/2023;19:30:00;JACAREI;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Dupla;"Reta;Declive";-23,31527532;-46,07231796
21/12/2023;07:00:00;GUAPO;Acumulo de água sobre o pavimento;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;-16,8068;-49,5257
21/12/2023;07:00:00;MARUIM;Acumulo de água sobre o pavimento;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;-10,76273662;-37,11145231
21/12/2023;08:00:00;MARAVILHA;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-26,795523;-53,192974
21/12/2023;07:50:00;JACAREI;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;-23,27617003;-45,97592098
21/12/2023;08:30:00;BRASILIA;Trafegar com motocicleta (ou similar) entre as faixas;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;-15,78698833;-48,11676979
21/12/2023;07:30:00;BALNEARIO PICARRAS;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Reta;-26,79281742;-48,68080819
21/12/2023;09:00:00;ANAPOLIS;Chuva;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Curva;Declive";-16,2967;-48,8039
18/12/2023;03:15:00;MAGE;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;-22,66791406;-43,00902598
21/12/2023;08:30:00;ABADIANIA;Manobra de mudança de faixa;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;-16,05858626;-48,85401759
21/12/2023;07:50:00;PORTO REAL DO COLEGIO;Velocidade Incompatível;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Nublado;Simples;Reta;-10,18344196;-36,82898037
21/12/2023;10:00:00;GRAVATA;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Reta;Declive";-8,19466678;-35,51728814
21/12/2023;10:35:00;LAVRAS;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Curva;Declive";-21,225698;-45,130486
21/12/2023;10:10:00;SERRINHA;Acumulo de água sobre o pavimento;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Aclive;-11,80572287;-38,98109457
21/12/2023;11:45:00;VIANA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Reta;Declive";-20,34529844;-40,41026774
21/12/2023;12:10:00;CABEDELO;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-7,0772;-34,8494
21/12/2023;11:20:00;JOACABA;Curva acentuada;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-27,115656;-51,631065
21/12/2023;12:30:00;MONTES CLAROS;Acumulo de água sobre o pavimento;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Curva;-16,85144573;-44,06967486
21/12/2023;13:17:00;DEMERVAL LOBAO;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-5,351835;-42,678434
21/12/2023;14:45:00;RIO NOVO DO SUL;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;-20,82072713;-40,84702482
21/12/2023;12:10:00;RIO VERDE;Acumulo de água sobre o pavimento;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Chuva;Dupla;"Curva;Declive";-17,5988;-50,7248
21/12/2023;12:25:00;SAO GONCALO DO ABAETE;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Curva;Declive";-18,1662113;-45,290626
21/12/2023;13:30:00;RECIFE;Acumulo de areia ou detritos sobre o pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Declive;-8,11813811;-34,94329214
21/12/2023;15:00:00;JOAO PINHEIRO;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Reta;-18,27540395;-45,89263002
21/12/2023;13:40:00;JABOATAO DOS GUARARAPES;Ultrapassagem Indevida;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Curva;-8,175172;-34,942642
21/12/2023;16:24:00;BRASILIA;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Interseção de Vias;Reta";-16,02749023;-47,97927976
21/12/2023;16:00:00;CASCAVEL;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-24,98510305;-53,33984701
21/12/2023;16:25:00;CARMO DA CACHOEIRA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Curva;-21,55413799;-45,24499427
21/12/2023;16:45:00;CAXIAS DO SUL;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-29,1829343;-51,16801501
21/12/2023;16:00:00;JUATUBA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;"Curva;Aclive";-19,95652262;-44,3648278
21/12/2023;17:10:00;CANOAS;Manobra de mudança de faixa;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;-29,879208;-51,18045622
21/12/2023;15:10:00;TERESINA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;"Reta;Declive";-5,14169858;-42,78157276
21/12/2023;14:30:00;MORENO;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-8,09580234;-35,08012588
21/12/2023;16:10:00;BAYEUX;Velocidade Incompatível;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Retorno Regulamentado;-7,15032192;-34,91079569
