data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
26/04/2026;17:40:00;BALSA NOVA;Chuva;Queda de ocupante de veículo;Com Vítimas Feridas;Anoitecer;Decrescente;Chuva;Dupla;Curva;-25,478436;-49,6424
26/04/2026;15:20:00;CAPITAO LEONIDAS MARQUES;Chuva;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Chuva;Simples;Curva;-25,482152;-53,591492
26/04/2026;08:00:00;BARAO DE COCAIS;Neblina;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-19,79753389;-43,42401378
26/04/2026;15:30:00;NAQUE;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-19,22220892;-42,31431182
26/04/2026;18:24:00;SENADOR ELOI DE SOUZA;Demais falhas na via;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-6,05003;-35,674627
26/04/2026;17:25:00;LAPA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Anoitecer;Crescente;Garoa/Chuvisco;Simples;"Aclive;Reta";-25,773088;-49,748028
26/04/2026;19:10:00;VIANA;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;-20,416613;-40,459518
26/04/2026;18:00:00;SINOP;Desvio temporário;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Aclive;Em Obras";-12,01615134;-55,51803589
26/04/2026;19:30:00;APARECIDA;Ultrapassagem Indevida;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;-22,85223001;-45,23910029
26/04/2026;19:40:00;BRASILIA;Deficiência do Sistema de Iluminação/Sinalização;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-15,9558015;-47,8668972
26/04/2026;19:50:00;GUAPIMIRIM;Demais falhas na via;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-22,66719925;-42,98851339
26/04/2026;09:50:00;SAO JOSE;Pista Escorregadia;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Chuva;Múltipla;Reta;-27,60084;-48,62336
26/04/2026;20:28:00;NOVA ALVORADA DO SUL;Velocidade Incompatível;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;-21,33188411;-54,42067981
26/04/2026;22:00:00;MARINGA;Acesso irregular;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Múltipla;Viaduto;-23,4251106;-51,89878334
26/04/2026;21:45:00;ARIQUEMES;Acostamento em desnível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;"Aclive;Reta";-9,955283;-63,050643
26/04/2026;12:10:00;PORTO BELO;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Dupla;Reta;-27,13830225;-48,61029021
25/04/2026;05:20:00;SIMAO PEREIRA;Restrição de visibilidade em curvas horizontais;Colisão lateral mesmo sentido;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Dupla;"Curva;Aclive";-21,964919;-43,295935
25/04/2026;07:30:00;SAO GONCALO DO ABAETE;Restrição de visibilidade em curvas horizontais;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-18,00581;-45,5635783
